street_address,street_number,street_name,suburb,postcode,full_address,council,latitude,longitude,socio_economic_status,remoteness_level,validation_source
715 Light Square,715,Light Square,ADELAIDE,5000,"715 Light Square, Adelaide South Australia 5000, Australia",CITY OF ADELAIDE,-34.926016,138.593335,4,Major Cities of Australia,mapbox_api
195 Gawler Place,195,Gawler Place,ADELAIDE,5000,"195 Gawler Place, Adelaide South Australia 5000, Australia",CITY OF ADELAIDE,-34.925175,138.602027,4,Major Cities of Australia,mapbox_api
651 Gawler Place,651,Gawler Place,ADELAIDE,5000,"651 Gawler Place, Adelaide South Australia 5000, Australia",CITY OF ADELAIDE,-34.925171,138.602027,4,Major Cities of Australia,mapbox_api
320 Grenfell Street,320,Grenfell Street,ADELAIDE,5000,"320 Grenfell Street, Adelaide South Australia 5000, Australia",CITY OF ADELAIDE,-34.923849,138.60941,4,Major Cities of Australia,mapbox_api
403 Brighton Road,403,Brighton Road,ADELAIDE,5000,"403 Brighton Road, Somerton Park South Australia 5044, Australia",CITY OF ADELAIDE,-35.001587,138.521718,4,Major Cities of Australia,mapbox_api
666 Rundle Street,666,Rundle Street,ADELAIDE,5000,"666 Rundle Street, Adelaide South Australia 5000, Australia",CITY OF ADELAIDE,-34.922473,138.609706,4,Major Cities of Australia,mapbox_api
770 Churchill Road,770,Churchill Road,ADELAIDE,5000,"770 Churchill Road, Kilburn South Australia 5084, Australia",CITY OF ADELAIDE,-34.861237,138.58314,4,Major Cities of Australia,mapbox_api
713 Wellington Square,713,Wellington Square,ADELAIDE,5000,"713 Wellington Square, North Adelaide South Australia 5006, Australia",CITY OF ADELAIDE,-34.907086,138.590634,4,Major Cities of Australia,mapbox_api
491 Halls Road,491,Torrens Road,ADELAIDE,5000,"491 Halls Road, Highbury South Australia 5089, Australia",CITY OF ADELAIDE,-34.849477,138.720989,4,Major Cities of Australia,mapbox_api
370 Cross Road,370,Cross Road,ADELAIDE,5000,"370 Cross Road, Malvern South Australia 5061, Australia",CITY OF ADELAIDE,-34.965138,138.613726,4,Major Cities of Australia,mapbox_api
King Street,208,King Street,VICTOR HARBOR,5211,"King Street, Victor Harbor South Australia 5211, Australia",CITY OF VICTOR HARBOR,-35.556928,138.618675,3,Inner Regional Australia,mapbox_api
691 Uley Road,691,Unley Road,ADELAIDE,5000,"691 Uley Road, Craigmore South Australia 5114, Australia",CITY OF ADELAIDE,-34.698522,138.713498,4,Major Cities of Australia,mapbox_api
500 Henley Beach Road,500,Henley Beach Road,ADELAIDE,5000,"500 Henley Beach Road, Fulham South Australia 5024, Australia",CITY OF ADELAIDE,-34.925997,138.519334,4,Major Cities of Australia,mapbox_api
695 Grenfell Street,695,Grenfell Street,ADELAIDE,5000,"695 Grenfell Street, Adelaide South Australia 5000, Australia",CITY OF ADELAIDE,-34.923979,138.608693,4,Major Cities of Australia,mapbox_api
406 Carrington Street,406,Carrington Street,ADELAIDE,5000,"406 Carrington Street, Adelaide South Australia 5000, Australia",CITY OF ADELAIDE,-34.930531,138.615449,4,Major Cities of Australia,mapbox_api
369 Pirie Street,369,Pirie Street,ADELAIDE,5000,"369 Pirie Street, Adelaide South Australia 5000, Australia",CITY OF ADELAIDE,-34.925249,138.609834,4,Major Cities of Australia,mapbox_api
564 Portrush Road,564,Portrush Road,ADELAIDE,5000,"564 Portrush Road, Glen Osmond South Australia 5064, Australia",CITY OF ADELAIDE,-34.958932,138.643968,4,Major Cities of Australia,mapbox_api
Portrush Road,793,Portrush Road,ADELAIDE,5000,"Portrush Road, Glen Osmond South Australia 5064, Australia",CITY OF ADELAIDE,-34.956519,138.648198,4,Major Cities of Australia,mapbox_api
443 Grenfell Street,443,Grenfell Street,ADELAIDE,5000,"443 Grenfell Street, Adelaide South Australia 5000, Australia",CITY OF ADELAIDE,-34.923979,138.60869,4,Major Cities of Australia,mapbox_api
256 Glen Osmond Road,256,Glen Osmond Road,ADELAIDE,5000,"256 Glen Osmond Road, Fullarton South Australia 5063, Australia",CITY OF ADELAIDE,-34.951748,138.633972,4,Major Cities of Australia,mapbox_api
78 Churchill Road,78,Churchill Road,ADELAIDE,5000,"78 Churchill Road, Prospect South Australia 5082, Australia",CITY OF ADELAIDE,-34.891547,138.58487,4,Major Cities of Australia,mapbox_api
627 Brighton Road,627,Brighton Road,ADELAIDE,5000,"627 Brighton Road, Somerton Park South Australia 5044, Australia",CITY OF ADELAIDE,-35.001591,138.521718,4,Major Cities of Australia,mapbox_api
156 Goodwood Road,156,Goodwood Road,ADELAIDE,5000,"156 Goodwood Road, Goodwood South Australia 5034, Australia",CITY OF ADELAIDE,-34.95285,138.589222,4,Major Cities of Australia,mapbox_api
Franklin Street,685,Franklin Street,PORT AUGUSTA,5700,"Franklin Street, Port Augusta South Australia 5700, Australia",PORT AUGUSTA CITY COUNCIL,-32.490177,137.765999,2,Outer Regional Australia,mapbox_api
330 Franklin Street,330,Franklin Street,ADELAIDE,5000,"330 Franklin Street, Adelaide South Australia 5000, Australia",CITY OF ADELAIDE,-34.927663,138.589732,4,Major Cities of Australia,mapbox_api
598 Light Square,598,Light Square,ADELAIDE,5000,"598 Light Square, Adelaide South Australia 5000, Australia",CITY OF ADELAIDE,-34.92529,138.594281,4,Major Cities of Australia,mapbox_api
979 Uley Road,979,Unley Road,ADELAIDE,5000,"979 Uley Road, Craigmore South Australia 5114, Australia",CITY OF ADELAIDE,-34.698298,138.712961,4,Major Cities of Australia,mapbox_api
893 Marion Road,893,Marion Road,ADELAIDE,5000,"893 Marion Road, Ascot Park South Australia 5043, Australia",CITY OF ADELAIDE,-34.98379,138.556329,4,Major Cities of Australia,mapbox_api
117 Portrush Road,117,Portrush Road,ADELAIDE,5000,"117 Portrush Road, Evandale South Australia 5069, Australia",CITY OF ADELAIDE,-34.905903,138.639498,4,Major Cities of Australia,mapbox_api
863 Pirie Street,863,Pirie Street,ADELAIDE,5000,"863 Pirie Street, Adelaide South Australia 5000, Australia",CITY OF ADELAIDE,-34.925249,138.609837,4,Major Cities of Australia,mapbox_api
551 Portrush Road,551,Portrush Road,ADELAIDE,5000,"551 Portrush Road, Glenside South Australia 5065, Australia",CITY OF ADELAIDE,-34.940267,138.642471,4,Major Cities of Australia,mapbox_api
578 Cross Road,578,Cross Road,ADELAIDE,5000,"578 Cross Road, South Plympton South Australia 5038, Australia",CITY OF ADELAIDE,-34.96761,138.560237,4,Major Cities of Australia,mapbox_api
419 Portrush Road,419,Portrush Road,ADELAIDE,5000,"419 Portrush Road, Toorak Gardens South Australia 5065, Australia",CITY OF ADELAIDE,-34.93885,138.64195,4,Major Cities of Australia,mapbox_api
300 Unley Road,300,Unley Road,ADELAIDE,5000,"300 Unley Road, Hyde Park South Australia 5061, Australia",CITY OF ADELAIDE,-34.956712,138.607614,4,Major Cities of Australia,mapbox_api
797 Henley Beach Road,797,Henley Beach Road,ADELAIDE,5000,"797 Henley Beach Road, Fulham South Australia 5024, Australia",CITY OF ADELAIDE,-34.926593,138.514485,4,Major Cities of Australia,mapbox_api
522 Gawler Place,522,Gawler Place,ADELAIDE,5000,"522 Gawler Place, Adelaide South Australia 5000, Australia",CITY OF ADELAIDE,-34.925172,138.602027,4,Major Cities of Australia,mapbox_api
909 Flinders Street,909,Flinders Street,ADELAIDE,5000,"909 Flinders Street, Adelaide South Australia 5000, Australia",CITY OF ADELAIDE,-34.92664,138.610284,4,Major Cities of Australia,mapbox_api
King Street,841,King Street,PORT AUGUSTA,5700,"King Street, Port Augusta South Australia 5700, Australia",PORT AUGUSTA CITY COUNCIL,-32.489067,137.780398,2,Outer Regional Australia,mapbox_api
19 Henley Beach Road,19,Henley Beach Road,ADELAIDE,5000,"19 Henley Beach Road, Mile End South Australia 5031, Australia",CITY OF ADELAIDE,-34.923801,138.577382,4,Major Cities of Australia,mapbox_api
576 Goodwood Road,576,Goodwood Road,ADELAIDE,5000,"576 Goodwood Road, Daw Park South Australia 5041, Australia",CITY OF ADELAIDE,-34.981808,138.591924,4,Major Cities of Australia,mapbox_api
574 Portrush Road,574,Portrush Road,ADELAIDE,5000,"574 Portrush Road, Glen Osmond South Australia 5064, Australia",CITY OF ADELAIDE,-34.96032,138.644486,4,Major Cities of Australia,mapbox_api
797 Henley Beach Road,797,Henley Beach Road,ADELAIDE,5000,"797 Henley Beach Road, Fulham South Australia 5024, Australia",CITY OF ADELAIDE,-34.926593,138.514485,4,Major Cities of Australia,mapbox_api
79 Glen Osmond Road,79,Glen Osmond Road,ADELAIDE,5000,"79 Glen Osmond Road, Eastwood South Australia 5063, Australia",CITY OF ADELAIDE,-34.943868,138.621347,4,Major Cities of Australia,mapbox_api
291 Wellington Square,291,Wellington Square,ADELAIDE,5000,"291 Wellington Square, North Adelaide South Australia 5006, Australia",CITY OF ADELAIDE,-34.907141,138.590655,4,Major Cities of Australia,mapbox_api
23 Unley Road,23,Unley Road,ADELAIDE,5000,"23 Unley Road, Unley South Australia 5000, Australia",CITY OF ADELAIDE,-34.94098,138.606747,4,Major Cities of Australia,mapbox_api
972 Uley Road,972,Unley Road,ADELAIDE,5000,"972 Uley Road, Craigmore South Australia 5114, Australia",CITY OF ADELAIDE,-34.698488,138.713419,4,Major Cities of Australia,mapbox_api
832 Elizabeth Street,832,Elizabeth Street,MURRAY BRIDGE,5253,"832 Elizabeth Street, Murray Bridge South Australia 5253, Australia",THE RURAL CITY OF MURRAY BRIDGE,-35.118238,139.263233,2,Inner Regional Australia,mapbox_api
957 Pulteney Street,957,Pulteney Street,ADELAIDE,5000,"957 Pulteney Street, Adelaide South Australia 5000, Australia",CITY OF ADELAIDE,-34.934638,138.606464,4,Major Cities of Australia,mapbox_api
Hurtle Square,502,Hurtle Square,ADELAIDE,5000,"Hurtle Square, Adelaide South Australia 5000, Australia",CITY OF ADELAIDE,-34.932292,138.605527,4,Major Cities of Australia,mapbox_api
628 Henley Beach Road,628,Henley Beach Road,ADELAIDE,5000,"628 Henley Beach Road, Torrensville South Australia 5031, Australia",CITY OF ADELAIDE,-34.923687,138.569603,4,Major Cities of Australia,mapbox_api
603 Goodwood Road,603,Goodwood Road,ADELAIDE,5000,"603 Goodwood Road, Panorama South Australia 5041, Australia",CITY OF ADELAIDE,-34.993392,138.592877,4,Major Cities of Australia,mapbox_api
636 Wellington Square,636,Wellington Square,ADELAIDE,5000,"636 Wellington Square, North Adelaide South Australia 5006, Australia",CITY OF ADELAIDE,-34.9063,138.591248,4,Major Cities of Australia,mapbox_api
379 Prospect Road,379,Prospect Road,ADELAIDE,5000,"379 Prospect Road, Blair Athol South Australia 5084, Australia",CITY OF ADELAIDE,-34.860725,138.592559,4,Major Cities of Australia,mapbox_api
888 Pirie Street,888,Pirie Street,ADELAIDE,5000,"888 Pirie Street, Adelaide South Australia 5000, Australia",CITY OF ADELAIDE,-34.925152,138.611747,4,Major Cities of Australia,mapbox_api
30 Brighton Road,30,Brighton Road,ADELAIDE,5000,"30 Brighton Road, Glenelg East South Australia 5045, Australia",CITY OF ADELAIDE,-34.978762,138.52056,4,Major Cities of Australia,mapbox_api
385 Waymouth Street,385,Waymouth Street,ADELAIDE,5000,"385 Waymouth Street, Adelaide South Australia 5000, Australia",CITY OF ADELAIDE,-34.926308,138.589086,4,Major Cities of Australia,mapbox_api
665 Lower North East Road,665,Lower North East Road,ADELAIDE,5000,"665 Lower North East Road, Paradise South Australia 5075, Australia",CITY OF ADELAIDE,-34.874352,138.667419,4,Major Cities of Australia,mapbox_api
449 Port Road,449,Port Road,ADELAIDE,5000,"449 Port Road, Croydon South Australia 5008, Australia",CITY OF ADELAIDE,-34.898146,138.562802,4,Major Cities of Australia,mapbox_api
391 Flinders Street,391,Flinders Street,ADELAIDE,5000,"391 Flinders Street, Adelaide South Australia 5000, Australia",CITY OF ADELAIDE,-34.92664,138.610278,4,Major Cities of Australia,mapbox_api
208 Goodwood Road,208,Goodwood Road,ADELAIDE,5000,"208 Goodwood Road, Cumberland Park South Australia 5041, Australia",CITY OF ADELAIDE,-34.970822,138.591106,4,Major Cities of Australia,mapbox_api
356 Marion Road,356,Marion Road,ADELAIDE,5000,"356 Marion Road, North Plympton South Australia 5037, Australia",CITY OF ADELAIDE,-34.958465,138.554027,4,Major Cities of Australia,mapbox_api
Portrush Road,894,Portrush Road,ADELAIDE,5000,"Portrush Road, Glen Osmond South Australia 5064, Australia",CITY OF ADELAIDE,-34.956519,138.648198,4,Major Cities of Australia,mapbox_api
723 Main North Road,723,Main North Road,ADELAIDE,5000,"723 Main North Road, Munno Para South Australia 5115, Australia",CITY OF ADELAIDE,-34.677868,138.696861,4,Major Cities of Australia,mapbox_api
15 Grand Junction Road,15,Grand Junction Road,ADELAIDE,5000,"15 Grand Junction Road, Hope Valley South Australia 5090, Australia",CITY OF ADELAIDE,-34.843881,138.692549,4,Major Cities of Australia,mapbox_api
936 Hindley Street,936,Hindley Street,ADELAIDE,5000,"936 Hindley Street, Adelaide South Australia 5000, Australia",CITY OF ADELAIDE,-34.923454,138.590152,4,Major Cities of Australia,mapbox_api
711 North Terrace,711,North Terrace,ADELAIDE,5000,"711 North Terrace, Adelaide South Australia 5000, Australia",CITY OF ADELAIDE,-34.921756,138.596593,4,Major Cities of Australia,mapbox_api
787 Grand Junction Road,787,Grand Junction Road,ADELAIDE,5000,"787 Grand Junction Road, Northfield South Australia 5085, Australia",CITY OF ADELAIDE,-34.847285,138.620793,4,Major Cities of Australia,mapbox_api
138 Flinders Street,138,Flinders Street,ADELAIDE,5000,"138 Flinders Street, Kent Town South Australia 5067, Australia",CITY OF ADELAIDE,-34.922106,138.622644,4,Major Cities of Australia,mapbox_api
66 Magill Road,66,Magill Road,ADELAIDE,5000,"66 Magill Road, Norwood South Australia 5067, Australia",CITY OF ADELAIDE,-34.915819,138.627479,4,Major Cities of Australia,mapbox_api
269 Glen Osmond Road,269,Glen Osmond Road,ADELAIDE,5000,"269 Glen Osmond Road, Frewville South Australia 5063, Australia",CITY OF ADELAIDE,-34.951057,138.633664,4,Major Cities of Australia,mapbox_api
77 Halifax Street,77,Halifax Street,ADELAIDE,5000,"77 Halifax Street, Adelaide South Australia 5000, Australia",CITY OF ADELAIDE,-34.932848,138.602283,4,Major Cities of Australia,mapbox_api
263 Hindley Street,263,Hindley Street,ADELAIDE,5000,"263 Hindley Street, Adelaide South Australia 5000, Australia",CITY OF ADELAIDE,-34.92348,138.589647,4,Major Cities of Australia,mapbox_api
949 Pirie Street,949,Pirie Street,ADELAIDE,5000,"949 Pirie Street, Adelaide South Australia 5000, Australia",CITY OF ADELAIDE,-34.925249,138.609837,4,Major Cities of Australia,mapbox_api
Whitmore Square,886,Whitmore Square,ADELAIDE,5000,"Whitmore Square, Adelaide South Australia 5000, Australia",CITY OF ADELAIDE,-34.932853,138.593504,4,Major Cities of Australia,mapbox_api
King Street,596,King Street,VICTOR HARBOR,5211,"King Street, Victor Harbor South Australia 5211, Australia",CITY OF VICTOR HARBOR,-35.556928,138.618675,3,Inner Regional Australia,mapbox_api
410 Prospect Road,410,Prospect Road,ADELAIDE,5000,"410 Prospect Road, North Adelaide South Australia 5006, Australia",CITY OF ADELAIDE,-34.898974,138.59474,4,Major Cities of Australia,mapbox_api
618 Halifax Street,618,Halifax Street,ADELAIDE,5000,"618 Halifax Street, Adelaide South Australia 5000, Australia",CITY OF ADELAIDE,-34.932089,138.616601,4,Major Cities of Australia,mapbox_api
Church Street,955,Church Street,ADELAIDE,5000,"Church Street, Glenelg South South Australia 5045, Australia",CITY OF ADELAIDE,-34.991075,138.515159,4,Major Cities of Australia,mapbox_api
279 Magill Road,279,Magill Road,ADELAIDE,5000,"279 Magill Road, Trinity Gardens South Australia 5068, Australia",CITY OF ADELAIDE,-34.914505,138.642665,4,Major Cities of Australia,mapbox_api
942 Glen Osmond Road,942,Glen Osmond Road,ADELAIDE,5000,"942 Glen Osmond Road, Parkside South Australia 5063, Australia",CITY OF ADELAIDE,-34.945929,138.624415,4,Major Cities of Australia,mapbox_api
80 Cross Road,80,Cross Road,ADELAIDE,5000,"80 Cross Road, Myrtle Bank South Australia 5064, Australia",CITY OF ADELAIDE,-34.964164,138.628644,4,Major Cities of Australia,mapbox_api
296 North Terrace,296,North Terrace,ADELAIDE,5000,"296 North Terrace, Adelaide South Australia 5000, Australia",CITY OF ADELAIDE,-34.921817,138.595381,4,Major Cities of Australia,mapbox_api
216 Franklin Street,216,Franklin Street,ADELAIDE,5000,"216 Franklin Street, Adelaide South Australia 5000, Australia",CITY OF ADELAIDE,-34.927295,138.596106,4,Major Cities of Australia,mapbox_api
328 Angas Street,328,Angas Street,ADELAIDE,5000,"328 Angas Street, Adelaide South Australia 5000, Australia",CITY OF ADELAIDE,-34.929202,138.613305,4,Major Cities of Australia,mapbox_api
618 Goodwood Road,618,Goodwood Road,ADELAIDE,5000,"618 Goodwood Road, Colonel Light Gardens South Australia 5041, Australia",CITY OF ADELAIDE,-34.984058,138.591754,4,Major Cities of Australia,mapbox_api
415 Torrens Road,415,Torrens Road,ADELAIDE,5000,"415 Torrens Road, Kilkenny South Australia 5009, Australia",CITY OF ADELAIDE,-34.877779,138.552175,4,Major Cities of Australia,mapbox_api
612 Magill Road,612,Magill Road,ADELAIDE,5000,"612 Magill Road, Magill South Australia 5072, Australia",CITY OF ADELAIDE,-34.913049,138.681177,4,Major Cities of Australia,mapbox_api
443 Wellington Square,443,Wellington Square,ADELAIDE,5000,"443 Wellington Square, North Adelaide South Australia 5006, Australia",CITY OF ADELAIDE,-34.907121,138.590647,4,Major Cities of Australia,mapbox_api
782 Port Road,782,Port Road,ADELAIDE,5000,"782 Port Road, Hindmarsh South Australia 5007, Australia",CITY OF ADELAIDE,-34.905356,138.571739,4,Major Cities of Australia,mapbox_api
214 Port Road,214,Port Road,ADELAIDE,5000,"214 Port Road, Hindmarsh South Australia 5007, Australia",CITY OF ADELAIDE,-34.905077,138.570628,4,Major Cities of Australia,mapbox_api
69 Lower North East Road,69,Lower North East Road,ADELAIDE,5000,"69 Lower North East Road, Highbury South Australia 5089, Australia",CITY OF ADELAIDE,-34.840439,138.74053,4,Major Cities of Australia,mapbox_api
296 Waymouth Street,296,Waymouth Street,ADELAIDE,5000,"296 Waymouth Street, Adelaide South Australia 5000, Australia",CITY OF ADELAIDE,-34.926281,138.589635,4,Major Cities of Australia,mapbox_api
785 Gawler Place,785,Gawler Place,ADELAIDE,5000,"785 Gawler Place, Adelaide South Australia 5000, Australia",CITY OF ADELAIDE,-34.925169,138.602027,4,Major Cities of Australia,mapbox_api
872 Carrington Street,872,Carrington Street,ADELAIDE,5000,"872 Carrington Street, Adelaide South Australia 5000, Australia",CITY OF ADELAIDE,-34.931302,138.604375,4,Major Cities of Australia,mapbox_api
825 Light Square,825,Light Square,ADELAIDE,5000,"825 Light Square, Adelaide South Australia 5000, Australia",CITY OF ADELAIDE,-34.926044,138.593435,4,Major Cities of Australia,mapbox_api
531 Brighton Road,531,Brighton Road,ADELAIDE,5000,"531 Brighton Road, Brighton South Australia 5048, Australia",CITY OF ADELAIDE,-35.021919,138.522768,4,Major Cities of Australia,mapbox_api
428 Hindley Street,428,Hindley Street,ADELAIDE,5000,"428 Hindley Street, Adelaide South Australia 5000, Australia",CITY OF ADELAIDE,-34.923454,138.590154,4,Major Cities of Australia,mapbox_api
2 Upper Sturt Road,2,Upper Sturt Road,ADELAIDE,5000,"2 Upper Sturt Road, Belair South Australia 5052, Australia",CITY OF ADELAIDE,-35.004427,138.632482,4,Major Cities of Australia,mapbox_api
309 Gawler Place,309,Gawler Place,ADELAIDE,5000,"309 Gawler Place, Adelaide South Australia 5000, Australia",CITY OF ADELAIDE,-34.925174,138.602027,4,Major Cities of Australia,mapbox_api
208 Cross Road,208,Cross Road,ADELAIDE,5000,"208 Cross Road, Unley Park South Australia 5061, Australia",CITY OF ADELAIDE,-34.965293,138.606214,4,Major Cities of Australia,mapbox_api
743 Rundle Street,743,Rundle Street,ADELAIDE,5000,"743 Rundle Street, Adelaide South Australia 5000, Australia",CITY OF ADELAIDE,-34.922494,138.609332,4,Major Cities of Australia,mapbox_api
875 Currie Street,875,Currie Street,ADELAIDE,5000,"875 Currie Street, Adelaide South Australia 5000, Australia",CITY OF ADELAIDE,-34.924642,138.595555,4,Major Cities of Australia,mapbox_api
528 Prospect Road,528,Prospect Road,ADELAIDE,5000,"528 Prospect Road, Kilburn South Australia 5084, Australia",CITY OF ADELAIDE,-34.855802,138.591566,4,Major Cities of Australia,mapbox_api
143 Rundle Street,143,Rundle Street,ADELAIDE,5000,"143 Rundle Street, Adelaide South Australia 5000, Australia",CITY OF ADELAIDE,-34.922535,138.608553,4,Major Cities of Australia,mapbox_api
380 Flinders Street,380,Flinders Street,ADELAIDE,5000,"380 Flinders Street, Kent Town South Australia 5067, Australia",CITY OF ADELAIDE,-34.921996,138.622781,4,Major Cities of Australia,mapbox_api
760 Main Street,760,Main Street,ADELAIDE,5000,"760 Main Street, Mawson Lakes South Australia 5095, Australia",CITY OF ADELAIDE,-34.808338,138.616966,4,Major Cities of Australia,mapbox_api
778 Flinders Street,778,Flinders Street,ADELAIDE,5000,"778 Flinders Street, Kent Town South Australia 5067, Australia",CITY OF ADELAIDE,-34.921858,138.623032,4,Major Cities of Australia,mapbox_api
370 Lower North East Road,370,Lower North East Road,ADELAIDE,5000,"370 Lower North East Road, Dernancourt South Australia 5075, Australia",CITY OF ADELAIDE,-34.866167,138.678893,4,Major Cities of Australia,mapbox_api
711 Elizabeth Street,711,Elizabeth Street,MURRAY BRIDGE,5253,"711 Elizabeth Street, Murray Bridge South Australia 5253, Australia",THE RURAL CITY OF MURRAY BRIDGE,-35.118228,139.263245,2,Inner Regional Australia,mapbox_api
308 Brighton Road,308,Brighton Road,ADELAIDE,5000,"308 Brighton Road, North Brighton South Australia 5048, Australia",CITY OF ADELAIDE,-35.004599,138.522325,4,Major Cities of Australia,mapbox_api
360 Angas Street,360,Angas Street,ADELAIDE,5000,"360 Angas Street, Adelaide South Australia 5000, Australia",CITY OF ADELAIDE,-34.929142,138.614422,4,Major Cities of Australia,mapbox_api
751 Lower North East Road,751,Lower North East Road,ADELAIDE,5000,"751 Lower North East Road, Paradise South Australia 5075, Australia",CITY OF ADELAIDE,-34.865938,138.674656,4,Major Cities of Australia,mapbox_api
South Terrace,785,South Terrace,ADELAIDE,5000,"South Terrace, Adelaide South Australia 5000, Australia",CITY OF ADELAIDE,-34.935572,138.596249,4,Major Cities of Australia,mapbox_api
689 East Terrace,689,East Terrace,ADELAIDE,5000,"689 East Terrace, Adelaide South Australia 5000, Australia",CITY OF ADELAIDE,-34.922917,138.610861,4,Major Cities of Australia,mapbox_api
18 Light Square,18,Light Square,ADELAIDE,5000,"18 Light Square, Adelaide South Australia 5000, Australia",CITY OF ADELAIDE,-34.924511,138.593025,4,Major Cities of Australia,mapbox_api
818 Goodwood Road,818,Goodwood Road,ADELAIDE,5000,"818 Goodwood Road, Goodwood South Australia 5034, Australia",CITY OF ADELAIDE,-34.948595,138.589431,4,Major Cities of Australia,mapbox_api
29 Queen Street,29,Queen Street,ADELAIDE,5000,"29 Queen Street, Unley South Australia 5061, Australia",CITY OF ADELAIDE,-34.951371,138.602399,4,Major Cities of Australia,mapbox_api
23 Cross Road,23,Cross Road,ADELAIDE,5000,"23 Cross Road, Kingswood South Australia 5062, Australia",CITY OF ADELAIDE,-34.96557,138.614531,4,Major Cities of Australia,mapbox_api
South Terrace,330,South Terrace,MURRAY BRIDGE,5253,"South Terrace, Murray Bridge South Australia 5253, Australia",THE RURAL CITY OF MURRAY BRIDGE,-35.119932,139.275992,2,Inner Regional Australia,mapbox_api
28 Victoria Street,28,Victoria Street,VICTOR HARBOR,5211,"28 Victoria Street, Victor Harbor South Australia 5211, Australia",CITY OF VICTOR HARBOR,-35.557519,138.615963,3,Inner Regional Australia,mapbox_api
101 Morphett Street,101,Morphett Street,ADELAIDE,5000,"101 Morphett Street, Adelaide South Australia 5000, Australia",CITY OF ADELAIDE,-34.919851,138.594187,4,Major Cities of Australia,mapbox_api
West Terrace,267,West Terrace,CLARE,5453,"West Terrace, Clare South Australia 5453, Australia",CLARE AND GILBERT VALLEYS COUNCIL,-33.831694,138.60428,3,Inner Regional Australia,mapbox_api
King Street,431,King Street,PORT AUGUSTA,5700,"King Street, Port Augusta South Australia 5700, Australia",PORT AUGUSTA CITY COUNCIL,-32.489067,137.780398,2,Outer Regional Australia,mapbox_api
525 Gawler Place,525,Gawler Place,ADELAIDE,5000,"525 Gawler Place, Adelaide South Australia 5000, Australia",CITY OF ADELAIDE,-34.925172,138.602027,4,Major Cities of Australia,mapbox_api
89 Waymouth Street,89,Waymouth Street,ADELAIDE,5000,"89 Waymouth Street, Adelaide South Australia 5000, Australia",CITY OF ADELAIDE,-34.925878,138.597656,4,Major Cities of Australia,mapbox_api
718 Henley Beach Road,718,Henley Beach Road,ADELAIDE,5000,"718 Henley Beach Road, Torrensville South Australia 5031, Australia",CITY OF ADELAIDE,-34.923687,138.5696,4,Major Cities of Australia,mapbox_api
760 Currie Street,760,Currie Street,ADELAIDE,5000,"760 Currie Street, Adelaide South Australia 5000, Australia",CITY OF ADELAIDE,-34.924843,138.589531,4,Major Cities of Australia,mapbox_api
469 Main Street,469,Main Street,PORT AUGUSTA,5700,"469 Main Street, Port Augusta South Australia 5700, Australia",PORT AUGUSTA CITY COUNCIL,-32.49708,137.781016,2,Outer Regional Australia,mapbox_api
854 Glen Osmond Road,854,Glen Osmond Road,ADELAIDE,5000,"854 Glen Osmond Road, Parkside South Australia 5063, Australia",CITY OF ADELAIDE,-34.945928,138.624415,4,Major Cities of Australia,mapbox_api
919 Port Road,919,Port Road,ADELAIDE,5000,"919 Port Road, Hindmarsh South Australia 5007, Australia",CITY OF ADELAIDE,-34.908466,138.576487,4,Major Cities of Australia,mapbox_api
79 Currie Street,79,Currie Street,ADELAIDE,5000,"79 Currie Street, Adelaide South Australia 5000, Australia",CITY OF ADELAIDE,-34.924731,138.591684,4,Major Cities of Australia,mapbox_api
652 Churchill Road,652,Churchill Road,ADELAIDE,5000,"652 Churchill Road, Kilburn South Australia 5084, Australia",CITY OF ADELAIDE,-34.861236,138.58314,4,Major Cities of Australia,mapbox_api
547 Pirie Street,547,Pirie Street,ADELAIDE,5000,"547 Pirie Street, Adelaide South Australia 5000, Australia",CITY OF ADELAIDE,-34.925249,138.609835,4,Major Cities of Australia,mapbox_api
903 Marian Road,903,Marion Road,ADELAIDE,5000,"903 Marian Road, Payneham South South Australia 5070, Australia",CITY OF ADELAIDE,-34.901532,138.645721,4,Major Cities of Australia,mapbox_api
812 Pulteney Street,812,Pulteney Street,ADELAIDE,5000,"812 Pulteney Street, Adelaide South Australia 5000, Australia",CITY OF ADELAIDE,-34.935372,138.606516,4,Major Cities of Australia,mapbox_api
Hurtle Square,479,Hurtle Square,ADELAIDE,5000,"Hurtle Square, Adelaide South Australia 5000, Australia",CITY OF ADELAIDE,-34.932292,138.605527,4,Major Cities of Australia,mapbox_api
860 Grand Junction Road,860,Grand Junction Road,ADELAIDE,5000,"860 Grand Junction Road, Gilles Plains South Australia 5086, Australia",CITY OF ADELAIDE,-34.845486,138.661853,4,Major Cities of Australia,mapbox_api
323 Currie Street,323,Currie Street,ADELAIDE,5000,"323 Currie Street, Adelaide South Australia 5000, Australia",CITY OF ADELAIDE,-34.924644,138.595512,4,Major Cities of Australia,mapbox_api
238 Prospect Road,238,Prospect Road,ADELAIDE,5000,"238 Prospect Road, Prospect South Australia 5082, Australia",CITY OF ADELAIDE,-34.877665,138.593009,4,Major Cities of Australia,mapbox_api
778 Port Road,778,Port Road,ADELAIDE,5000,"778 Port Road, Hindmarsh South Australia 5007, Australia",CITY OF ADELAIDE,-34.905356,138.571739,4,Major Cities of Australia,mapbox_api
