Suburb,Postcode,Council,SocioEconomicStatus,Remoteness Level
KUDLA,5115,TOWN OF GAWLER,0,Major Cities of Australia
ETTRICK,5253,THE RURAL CITY OF MURRAY BRIDGE,0,Not Applicable
ULEYBURY,5114,CITY OF PLAYFORD,0,Major Cities of Australia
YATTALUNGA,5114,CITY OF PLAYFORD,0,Inner Regional Australia
MUNNO PARA,5115,CITY OF PLAYFORD,0,Major Cities of Australia
MUNNO PARA DOWNS,5115,CITY OF PLAYFORD,0,Major Cities of Australia
MUNNO PARA WEST,5115,CITY OF PLAYFORD,0,Major Cities of Australia
EVANSTON,5116,TOWN OF GAWLER,0,Major Cities of Australia
EVANSTON GARDENS,5116,TOWN OF GAWLER,0,Major Cities of Australia
EVANSTON PARK,5116,TOWN OF GAWLER,0,Major Cities of Australia
EVANSTON SOUTH,5116,TOWN OF GAWLER,0,Major Cities of Australia
GAWLER EAST,5118,TOWN OF GAWLER,0,Major Cities of Australia
GIFFORD HILL,5253,THE RURAL CITY OF MURRAY BRIDGE,0,Inner Regional Australia
HILLIER,5116,TOWN OF GAWLER,0,Major Cities of Australia
WILLASTON,5118,TOWN OF GAWLER,0,Major Cities of Australia
BUCKLAND PARK,5120,CITY OF PLAYFORD,0,Inner Regional Australia
GREENBANKS,5253,THE RURAL CITY OF MURRAY BRIDGE,0,Not Applicable
ANGLE VALE,5117,CITY OF PLAYFORD,0,Major Cities of Australia
PENFIELD,5121,CITY OF PLAYFORD,0,Major Cities of Australia
BIBARINGA,5118,CITY OF PLAYFORD,0,Major Cities of Australia
GAWLER RIVER,5118,LIGHT REGIONAL COUNCIL,0,Not Applicable
BUCHFELDE,5118,LIGHT REGIONAL COUNCIL,0,Major Cities of Australia
KINGSFORD,5118,LIGHT REGIONAL COUNCIL,0,Inner Regional Australia
CONCORDIA,5118,THE BAROSSA COUNCIL,0,Major Cities of Australia
REID,5118,TOWN OF GAWLER,0,Major Cities of Australia
WARD BELT,5118,LIGHT REGIONAL COUNCIL,0,Major Cities of Australia
MARBLE HILL,5137,ADELAIDE HILLS COUNCIL,0,Inner Regional Australia
GAWLER,5118,TOWN OF GAWLER,0,Major Cities of Australia
GAWLER BELT,5118,LIGHT REGIONAL COUNCIL,0,Major Cities of Australia
THE RANGE,5172,CITY OF ONKAPARINGA,0,Not Applicable
WHITES VALLEY,5172,CITY OF ONKAPARINGA,0,Major Cities of Australia
GAWLER SOUTH,5118,TOWN OF GAWLER,0,Major Cities of Australia
GAWLER WEST,5118,TOWN OF GAWLER,0,Major Cities of Australia
HEWETT,5118,LIGHT REGIONAL COUNCIL,0,Major Cities of Australia
KALBEEBA,5118,THE BAROSSA COUNCIL,0,Major Cities of Australia
KANGAROO FLAT,5118,LIGHT REGIONAL COUNCIL,0,Not Applicable
WILLUNGA,5172,CITY OF ONKAPARINGA,0,Major Cities of Australia
BOOLCOOMATTA,5440,PASTORAL UNINCORPORATED AREA,0,Not Applicable
RIVERLEA PARK,5120,CITY OF PLAYFORD,0,Not Applicable
VIRGINIA,5120,CITY OF PLAYFORD,0,Major Cities of Australia
EYRE,5121,CITY OF PLAYFORD,0,Major Cities of Australia
MACDONALD PARK,5121,CITY OF PLAYFORD,0,Major Cities of Australia
PETHERICK,5267,TATIARA DC,0,Not Applicable
PENFIELD GARDENS,5121,CITY OF PLAYFORD,0,Major Cities of Australia
GOLDEN GROVE,5125,CITY OF TEA TREE GULLY,0,Major Cities of Australia
BASKET RANGE,5138,ADELAIDE HILLS COUNCIL,0,Not Applicable
GREENWITH,5125,CITY OF TEA TREE GULLY,0,Major Cities of Australia
FAIRVIEW PARK,5126,CITY OF TEA TREE GULLY,0,Major Cities of Australia
SURREY DOWNS,5126,CITY OF TEA TREE GULLY,0,Major Cities of Australia
YATALA VALE,5126,CITY OF TEA TREE GULLY,0,Not Applicable
WYNN VALE,5127,CITY OF TEA TREE GULLY,0,Major Cities of Australia
HOUGHTON,5131,ADELAIDE HILLS COUNCIL,0,Major Cities of Australia
LEAWOOD GARDENS,5150,CITY OF MITCHAM,0,Not Applicable
LOWER HERMITAGE,5131,ADELAIDE HILLS COUNCIL,0,Inner Regional Australia
UPPER HERMITAGE,5131,ADELAIDE HILLS COUNCIL,0,Major Cities of Australia
INGLEWOOD,5133,ADELAIDE HILLS COUNCIL,0,Inner Regional Australia
PARACOMBE,5132,ADELAIDE HILLS COUNCIL,0,Major Cities of Australia
CHERRYVILLE,5134,ADELAIDE HILLS COUNCIL,0,Not Applicable
MONTACUTE,5134,ADELAIDE HILLS COUNCIL,0,Major Cities of Australia
NORTON SUMMIT,5136,ADELAIDE HILLS COUNCIL,0,Major Cities of Australia
ASHTON,5137,ADELAIDE HILLS COUNCIL,0,Major Cities of Australia
SHAUGH,5267,TATIARA DC,0,Not Applicable
FOREST RANGE,5139,ADELAIDE HILLS COUNCIL,0,Inner Regional Australia
GREENHILL,5140,ADELAIDE HILLS COUNCIL,0,Major Cities of Australia
HORSNELL GULLY,5141,ADELAIDE HILLS COUNCIL,0,Major Cities of Australia
SUMMERTOWN,5141,ADELAIDE HILLS COUNCIL,0,Major Cities of Australia
URAIDLA,5142,ADELAIDE HILLS COUNCIL,0,Major Cities of Australia
CAREY GULLY,5144,ADELAIDE HILLS COUNCIL,0,Inner Regional Australia
COONAMIA,5540,PORT PIRIE REGIONAL COUNCIL,0,Not Applicable
CLELAND,5152,ADELAIDE HILLS COUNCIL,0,Major Cities of Australia
CRAFERS,5152,ADELAIDE HILLS COUNCIL,0,Major Cities of Australia
CRAFERS WEST,5152,ADELAIDE HILLS COUNCIL,0,Major Cities of Australia
STIRLING,5152,ADELAIDE HILLS COUNCIL,0,Major Cities of Australia
BIGGS FLAT,5153,MOUNT BARKER DISTRICT COUNCIL,0,Inner Regional Australia
WILLUNGA HILL,5172,ALEXANDRINA COUNCIL,0,Inner Regional Australia
BRADBURY,5153,ADELAIDE HILLS COUNCIL,0,Not Applicable
CHAPEL HILL,5153,MOUNT BARKER DISTRICT COUNCIL,0,Not Applicable
ECHUNGA,5153,MOUNT BARKER DISTRICT COUNCIL,0,Inner Regional Australia
FLAXLEY,5153,MOUNT BARKER DISTRICT COUNCIL,0,Not Applicable
GREEN HILLS RANGE,5153,MOUNT BARKER DISTRICT COUNCIL,0,Inner Regional Australia
HEATHFIELD,5153,ADELAIDE HILLS COUNCIL,0,Major Cities of Australia
WILLUNGA SOUTH,5172,CITY OF ONKAPARINGA,0,Inner Regional Australia
WATTLE RANGE EAST,5279,WATTLE RANGE COUNCIL,0,Not Applicable
IRONBANK,5153,ADELAIDE HILLS COUNCIL,0,Major Cities of Australia
JUPITER CREEK,5153,MOUNT BARKER DISTRICT COUNCIL,0,Not Applicable
LONGWOOD,5153,ADELAIDE HILLS COUNCIL,0,Major Cities of Australia
MACCLESFIELD,5153,MOUNT BARKER DISTRICT COUNCIL,0,Inner Regional Australia
BORDERTOWN,5268,TATIARA DC,0,Outer Regional Australia
BEACHPORT,5280,WATTLE RANGE COUNCIL,0,Outer Regional Australia
MYLOR,5153,ADELAIDE HILLS COUNCIL,0,Major Cities of Australia
SCOTT CREEK,5153,ADELAIDE HILLS COUNCIL,0,Inner Regional Australia
ALDGATE,5154,ADELAIDE HILLS COUNCIL,0,Major Cities of Australia
BORDERTOWN SOUTH,5268,TATIARA DC,0,Not Applicable
CANUNDA,5280,WATTLE RANGE COUNCIL,0,Outer Regional Australia
BRIDGEWATER,5155,ADELAIDE HILLS COUNCIL,0,Major Cities of Australia
MOUNT GEORGE,5155,ADELAIDE HILLS COUNCIL,0,Major Cities of Australia
UPPER STURT,5156,ADELAIDE HILLS COUNCIL,0,Major Cities of Australia
ASHBOURNE,5157,ALEXANDRINA COUNCIL,0,Not Applicable
BULL CREEK,5157,MOUNT BARKER DISTRICT COUNCIL,0,Inner Regional Australia
CHERRY GARDENS,5157,CITY OF ONKAPARINGA,0,Inner Regional Australia
CLARENDON,5157,CITY OF ONKAPARINGA,0,Inner Regional Australia
COROMANDEL EAST,5157,CITY OF ONKAPARINGA,0,Major Cities of Australia
DORSET VALE,5157,ADELAIDE HILLS COUNCIL,0,Inner Regional Australia
ALFORD,5555,BARUNGA WEST COUNCIL,0,Not Applicable
KANGARILLA,5157,CITY OF ONKAPARINGA,0,Inner Regional Australia
MCHARG CREEK,5157,ALEXANDRINA COUNCIL,0,Not Applicable
SHEIDOW PARK,5158,CITY OF MARION,0,Major Cities of Australia
TROTT PARK,5158,CITY OF MARION,0,Major Cities of Australia
ABERFOYLE PARK,5159,CITY OF ONKAPARINGA,0,Major Cities of Australia
HALLETT COVE,5158,CITY OF MARION,0,Major Cities of Australia
O'HALLORAN HILL,5158,CITY OF MARION,0,Major Cities of Australia
CHANDLERS HILL,5159,CITY OF ONKAPARINGA,0,Major Cities of Australia
FLAGSTAFF HILL,5159,CITY OF ONKAPARINGA,0,Major Cities of Australia
HAPPY VALLEY,5159,CITY OF ONKAPARINGA,0,Major Cities of Australia
WOODCROFT,5162,CITY OF ONKAPARINGA,0,Major Cities of Australia
HACKHAM,5163,CITY OF ONKAPARINGA,0,Major Cities of Australia
HACKHAM WEST,5163,CITY OF ONKAPARINGA,0,Major Cities of Australia
HUNTFIELD HEIGHTS,5163,CITY OF ONKAPARINGA,0,Major Cities of Australia
ONKAPARINGA HEIGHTS,5163,CITY OF ONKAPARINGA,0,Not Applicable
LONSDALE,5160,CITY OF ONKAPARINGA,0,Major Cities of Australia
OLD REYNELLA,5161,CITY OF ONKAPARINGA,0,Major Cities of Australia
REYNELLA,5161,CITY OF ONKAPARINGA,0,Major Cities of Australia
REYNELLA EAST,5161,CITY OF ONKAPARINGA,0,Major Cities of Australia
MORPHETT VALE,5162,CITY OF ONKAPARINGA,0,Major Cities of Australia
MITCHELL,5632,LOWER EYRE COUNCIL,0,Not Applicable
ONKAPARINGA HILLS,5163,CITY OF ONKAPARINGA,0,Major Cities of Australia
CHRISTIE DOWNS,5164,CITY OF ONKAPARINGA,0,Major Cities of Australia
CAVETON,5291,THE DC OF GRANT,0,Outer Regional Australia
CHRISTIES BEACH,5165,CITY OF ONKAPARINGA,0,Major Cities of Australia
O'SULLIVAN BEACH,5166,CITY OF ONKAPARINGA,0,Major Cities of Australia
PORT NOARLUNGA,5167,CITY OF ONKAPARINGA,0,Major Cities of Australia
PORT NOARLUNGA SOUTH,5167,CITY OF ONKAPARINGA,0,Major Cities of Australia
NOARLUNGA CENTRE,5168,CITY OF ONKAPARINGA,0,Major Cities of Australia
SEAFORD MEADOWS,5169,CITY OF ONKAPARINGA,0,Major Cities of Australia
NOARLUNGA DOWNS,5168,CITY OF ONKAPARINGA,0,Major Cities of Australia
OLD NOARLUNGA,5168,CITY OF ONKAPARINGA,0,Major Cities of Australia
MOANA,5169,CITY OF ONKAPARINGA,0,Major Cities of Australia
SEAFORD,5169,CITY OF ONKAPARINGA,0,Major Cities of Australia
SEAFORD HEIGHTS,5169,CITY OF ONKAPARINGA,0,Major Cities of Australia
MASLIN BEACH,5170,CITY OF ONKAPARINGA,0,Major Cities of Australia
BLEWITT SPRINGS,5171,CITY OF ONKAPARINGA,0,Inner Regional Australia
MCLAREN FLAT,5171,CITY OF ONKAPARINGA,0,Inner Regional Australia
YUNDI,5172,ALEXANDRINA COUNCIL,0,Not Applicable
MCLAREN VALE,5171,CITY OF ONKAPARINGA,0,Major Cities of Australia
TATACHILLA,5171,CITY OF ONKAPARINGA,0,Major Cities of Australia
DINGABLEDINGA,5172,ALEXANDRINA COUNCIL,0,Not Applicable
HOPE FOREST,5172,ALEXANDRINA COUNCIL,0,Not Applicable
KUITPO COLONY,5172,ALEXANDRINA COUNCIL,0,Not Applicable
KYEEMA,5172,ALEXANDRINA COUNCIL,0,Not Applicable
MONTARRA,5172,ALEXANDRINA COUNCIL,0,Not Applicable
PAGES FLAT,5172,ALEXANDRINA COUNCIL,0,Not Applicable
ALDINGA BEACH,5173,CITY OF ONKAPARINGA,0,Major Cities of Australia
MOBILONG,5253,THE RURAL CITY OF MURRAY BRIDGE,0,Not Applicable
PORT WILLUNGA,5173,CITY OF ONKAPARINGA,0,Major Cities of Australia
SELLICKS BEACH,5174,CITY OF ONKAPARINGA,0,Major Cities of Australia
KUITPO,5201,ALEXANDRINA COUNCIL,0,Inner Regional Australia
SUNNYSIDE,5253,THE RURAL CITY OF MURRAY BRIDGE,0,Not Applicable
SELLICKS HILL,5174,CITY OF ONKAPARINGA,0,Major Cities of Australia
BLACKFELLOWS CREEK,5201,ALEXANDRINA COUNCIL,0,Not Applicable
MEADOWS,5201,MOUNT BARKER DISTRICT COUNCIL,0,Inner Regional Australia
PARIS CREEK,5201,ALEXANDRINA COUNCIL,0,Not Applicable
PROSPECT HILL,5201,MOUNT BARKER DISTRICT COUNCIL,0,Inner Regional Australia
HINDMARSH TIERS,5202,CITY OF VICTOR HARBOR,0,Inner Regional Australia
HAY FLAT,5204,THE DC OF YANKALILLA,0,Not Applicable
NORMANVILLE,5204,THE DC OF YANKALILLA,0,Inner Regional Australia
RAPID BAY,5204,THE DC OF YANKALILLA,0,Not Applicable
SECOND VALLEY,5204,THE DC OF YANKALILLA,0,Not Applicable
SILVERTON,5204,THE DC OF YANKALILLA,0,Not Applicable
WIRRINA COVE,5204,THE DC OF YANKALILLA,0,Inner Regional Australia
MYPONGA,5202,THE DC OF YANKALILLA,0,Inner Regional Australia
MYPONGA BEACH,5202,THE DC OF YANKALILLA,0,Not Applicable
BALD HILLS,5203,THE DC OF YANKALILLA,0,Not Applicable
PARAWA,5203,THE DC OF YANKALILLA,0,Inner Regional Australia
TORRENS VALE,5203,THE DC OF YANKALILLA,0,Not Applicable
TUNKALILLA,5203,THE DC OF YANKALILLA,0,Not Applicable
WATTLE FLAT,5203,THE DC OF YANKALILLA,0,Inner Regional Australia
SWANPORT,5253,THE RURAL CITY OF MURRAY BRIDGE,0,Not Applicable
YANKALILLA,5203,THE DC OF YANKALILLA,0,Inner Regional Australia
CAPE JERVIS,5204,THE DC OF YANKALILLA,0,Inner Regional Australia
MOUNT COMPASS,5210,ALEXANDRINA COUNCIL,0,Inner Regional Australia
HAYBOROUGH,5211,CITY OF VICTOR HARBOR,0,Inner Regional Australia
CARRICKALINGA,5204,THE DC OF YANKALILLA,0,Inner Regional Australia
DEEP CREEK,5204,THE DC OF YANKALILLA,0,Not Applicable
DELAMERE,5204,THE DC OF YANKALILLA,0,Not Applicable
MOUNT MAGNIFICENT,5210,ALEXANDRINA COUNCIL,0,Not Applicable
NANGKITA,5210,ALEXANDRINA COUNCIL,0,Inner Regional Australia
BACK VALLEY,5211,CITY OF VICTOR HARBOR,0,Not Applicable
CHITON,5211,ALEXANDRINA COUNCIL,0,Inner Regional Australia
ENCOUNTER BAY,5211,CITY OF VICTOR HARBOR,0,Inner Regional Australia
TOORA,5253,THE RURAL CITY OF MURRAY BRIDGE,0,Not Applicable
HINDMARSH VALLEY,5211,CITY OF VICTOR HARBOR,0,Inner Regional Australia
INMAN VALLEY,5211,CITY OF VICTOR HARBOR,0,Not Applicable
LOWER INMAN VALLEY,5211,CITY OF VICTOR HARBOR,0,Inner Regional Australia
SPRINGTON,5235,THE BAROSSA COUNCIL,0,Inner Regional Australia
TAUNTON,5235,THE BAROSSA COUNCIL,0,Not Applicable
WHITE SANDS,5253,THE RURAL CITY OF MURRAY BRIDGE,0,Inner Regional Australia
MCCRACKEN,5211,CITY OF VICTOR HARBOR,0,Inner Regional Australia
MOUNT JAGGED,5211,CITY OF VICTOR HARBOR,0,Inner Regional Australia
GOOLWA SOUTH,5214,ALEXANDRINA COUNCIL,0,Inner Regional Australia
VICTOR HARBOR,5211,CITY OF VICTOR HARBOR,0,Inner Regional Australia
WAITPINGA,5211,CITY OF VICTOR HARBOR,0,Inner Regional Australia
WILLOW CREEK,5211,THE DC OF YANKALILLA,0,Not Applicable
PORT ELLIOT,5212,ALEXANDRINA COUNCIL,0,Inner Regional Australia
HINDMARSH ISLAND,5214,ALEXANDRINA COUNCIL,0,Inner Regional Australia
MIDDLETON,5213,ALEXANDRINA COUNCIL,0,Inner Regional Australia
MOSQUITO HILL,5214,ALEXANDRINA COUNCIL,0,Not Applicable
WILLOW BANKS,5253,THE RURAL CITY OF MURRAY BRIDGE,0,Not Applicable
CURRENCY CREEK,5214,ALEXANDRINA COUNCIL,0,Inner Regional Australia
GOOLWA,5214,ALEXANDRINA COUNCIL,0,Inner Regional Australia
GOOLWA BEACH,5214,ALEXANDRINA COUNCIL,0,Inner Regional Australia
GOOLWA NORTH,5214,ALEXANDRINA COUNCIL,0,Inner Regional Australia
MUNDOO ISLAND,5214,ALEXANDRINA COUNCIL,0,Not Applicable
PARNDANA,5220,KANGAROO ISLAND COUNCIL,0,Remote Australia
AMERICAN RIVER,5221,KANGAROO ISLAND COUNCIL,0,Remote Australia
BALLAST HEAD,5221,KANGAROO ISLAND COUNCIL,0,Not Applicable
DUNCAN,5223,KANGAROO ISLAND COUNCIL,0,Not Applicable
EMU BAY,5223,KANGAROO ISLAND COUNCIL,0,Not Applicable
FLINDERS CHASE,5223,KANGAROO ISLAND COUNCIL,0,Not Applicable
MUSTON,5221,KANGAROO ISLAND COUNCIL,0,Not Applicable
AMERICAN BEACH,5222,KANGAROO ISLAND COUNCIL,0,Not Applicable
GOSSE,5223,KANGAROO ISLAND COUNCIL,0,Not Applicable
HAINES,5223,KANGAROO ISLAND COUNCIL,0,Not Applicable
KARATTA,5223,KANGAROO ISLAND COUNCIL,0,Not Applicable
KINGSCOTE,5223,KANGAROO ISLAND COUNCIL,0,Remote Australia
ANTECHAMBER BAY,5222,KANGAROO ISLAND COUNCIL,0,Not Applicable
KOHINOOR,5223,KANGAROO ISLAND COUNCIL,0,Not Applicable
MACGILLIVRAY,5223,KANGAROO ISLAND COUNCIL,0,Not Applicable
HAMBIDGE,5642,THE DC OF CLEVE,0,Not Applicable
BAUDIN BEACH,5222,KANGAROO ISLAND COUNCIL,0,Not Applicable
MENZIES,5223,KANGAROO ISLAND COUNCIL,0,Not Applicable
MIDDLE RIVER,5223,KANGAROO ISLAND COUNCIL,0,Not Applicable
NEPEAN BAY,5223,KANGAROO ISLAND COUNCIL,0,Remote Australia
NEWLAND,5223,KANGAROO ISLAND COUNCIL,0,Not Applicable
NORTH CAPE,5223,KANGAROO ISLAND COUNCIL,0,Not Applicable
SEAL BAY,5223,KANGAROO ISLAND COUNCIL,0,Not Applicable
BROWN BEACH,5222,KANGAROO ISLAND COUNCIL,0,Not Applicable
CUTTLEFISH BAY,5222,KANGAROO ISLAND COUNCIL,0,Not Applicable
DUDLEY EAST,5222,KANGAROO ISLAND COUNCIL,0,Not Applicable
DUDLEY WEST,5222,KANGAROO ISLAND COUNCIL,0,Not Applicable
IRONSTONE,5222,KANGAROO ISLAND COUNCIL,0,Not Applicable
SEDDON,5223,KANGAROO ISLAND COUNCIL,0,Not Applicable
STOKES BAY,5223,KANGAROO ISLAND COUNCIL,0,Not Applicable
STUN'SAIL BOOM,5223,KANGAROO ISLAND COUNCIL,0,Remote Australia
VIVONNE BAY,5223,KANGAROO ISLAND COUNCIL,0,Not Applicable
WESTERN RIVER,5223,KANGAROO ISLAND COUNCIL,0,Not Applicable
WISANGER,5223,KANGAROO ISLAND COUNCIL,0,Not Applicable
CHAIN OF PONDS,5231,ADELAIDE HILLS COUNCIL,0,Inner Regional Australia
WOODS POINT,5253,THE RURAL CITY OF MURRAY BRIDGE,0,Not Applicable
CALLINGTON,5254,THE RURAL CITY OF MURRAY BRIDGE,0,Inner Regional Australia
ISLAND BEACH,5222,KANGAROO ISLAND COUNCIL,0,Not Applicable
KANGAROO HEAD,5222,KANGAROO ISLAND COUNCIL,0,Not Applicable
PELICAN LAGOON,5222,KANGAROO ISLAND COUNCIL,0,Not Applicable
PENNESHAW,5222,KANGAROO ISLAND COUNCIL,0,Remote Australia
PORKY FLAT,5222,KANGAROO ISLAND COUNCIL,0,Not Applicable
GUMERACHA,5233,ADELAIDE HILLS COUNCIL,0,Inner Regional Australia
KENTON VALLEY,5233,ADELAIDE HILLS COUNCIL,0,Not Applicable
CALOOTE,5254,MID MURRAY COUNCIL,0,Not Applicable
SAPPHIRETOWN,5222,KANGAROO ISLAND COUNCIL,0,Not Applicable
WILLOUGHBY,5222,KANGAROO ISLAND COUNCIL,0,Remote Australia
WILLSON RIVER,5222,KANGAROO ISLAND COUNCIL,0,Not Applicable
BIRDWOOD,5234,ADELAIDE HILLS COUNCIL,0,Inner Regional Australia
CROMER,5235,THE BAROSSA COUNCIL,0,Inner Regional Australia
CANNAWIGARA,5268,TATIARA DC,0,Remote Australia
BAY OF SHOALS,5223,KANGAROO ISLAND COUNCIL,0,Remote Australia
BIRCHMORE,5223,KANGAROO ISLAND COUNCIL,0,Not Applicable
EDEN VALLEY,5235,THE BAROSSA COUNCIL,0,Inner Regional Australia
FLAXMAN VALLEY,5235,THE BAROSSA COUNCIL,0,Inner Regional Australia
BROWNLOW KI,5223,KANGAROO ISLAND COUNCIL,0,Remote Australia
CAPE BORDA,5223,KANGAROO ISLAND COUNCIL,0,Not Applicable
CASSINI,5223,KANGAROO ISLAND COUNCIL,0,Not Applicable
MOUNT PLEASANT,5235,THE BAROSSA COUNCIL,0,Inner Regional Australia
CYGNET RIVER,5223,KANGAROO ISLAND COUNCIL,0,Remote Australia
D'ESTREES BAY,5223,KANGAROO ISLAND COUNCIL,0,Not Applicable
DE MOLE RIVER,5223,KANGAROO ISLAND COUNCIL,0,Not Applicable
LOWAN VALE,5268,TATIARA DC,0,Not Applicable
KERSBROOK,5231,ADELAIDE HILLS COUNCIL,0,Inner Regional Australia
MILLBROOK,5231,ADELAIDE HILLS COUNCIL,0,Not Applicable
CUDLEE CREEK,5232,ADELAIDE HILLS COUNCIL,0,Inner Regional Australia
FORRESTON,5233,ADELAIDE HILLS COUNCIL,0,Inner Regional Australia
SEBASTOPOL,5280,WATTLE RANGE COUNCIL,0,Outer Regional Australia
SOUTHEND,5280,WATTLE RANGE COUNCIL,0,Outer Regional Australia
TUNGKILLO,5236,MID MURRAY COUNCIL,0,Not Applicable
APAMURRA,5237,MID MURRAY COUNCIL,0,Not Applicable
MILENDELLA,5237,MID MURRAY COUNCIL,0,Inner Regional Australia
PALMER,5237,MID MURRAY COUNCIL,0,Not Applicable
SANDERSTON,5237,MID MURRAY COUNCIL,0,Not Applicable
ANGAS VALLEY,5238,MID MURRAY COUNCIL,0,Not Applicable
BIG BEND,5238,MID MURRAY COUNCIL,0,Not Applicable
BOLTO,5238,MID MURRAY COUNCIL,0,Not Applicable
BOWHILL,5238,THE DC OF KAROONDA EAST MURRAY,0,Outer Regional Australia
MONARTO,5254,THE RURAL CITY OF MURRAY BRIDGE,0,Inner Regional Australia
CAURNAMONT,5238,MID MURRAY COUNCIL,0,Outer Regional Australia
CLAYPANS,5238,MID MURRAY COUNCIL,0,Not Applicable
COWIRRA,5238,MID MURRAY COUNCIL,0,Inner Regional Australia
FIVE MILES,5238,MID MURRAY COUNCIL,0,Inner Regional Australia
FORSTER,5238,MID MURRAY COUNCIL,0,Not Applicable
FRAHNS,5238,MID MURRAY COUNCIL,0,Not Applicable
FRAYVILLE,5238,MID MURRAY COUNCIL,0,Not Applicable
JULANKA HOLDINGS,5238,MID MURRAY COUNCIL,0,Not Applicable
LAKE CARLET,5238,MID MURRAY COUNCIL,0,Not Applicable
MANNUM,5238,MID MURRAY COUNCIL,0,Inner Regional Australia
NILDOTTIE,5238,MID MURRAY COUNCIL,0,Not Applicable
OLD TEAL FLAT,5238,MID MURRAY COUNCIL,0,Not Applicable
PELLARING FLAT,5238,MID MURRAY COUNCIL,0,Not Applicable
POMPOOTA,5238,MID MURRAY COUNCIL,0,Inner Regional Australia
PONDE,5238,MID MURRAY COUNCIL,0,Not Applicable
PORT MANNUM,5238,MID MURRAY COUNCIL,0,Inner Regional Australia
PUNTHARI,5238,MID MURRAY COUNCIL,0,Not Applicable
PURNONG,5238,MID MURRAY COUNCIL,0,Not Applicable
ROCKY POINT,5238,MID MURRAY COUNCIL,0,Not Applicable
TEAL FLAT,5238,MID MURRAY COUNCIL,0,Not Applicable
WISTOW,5251,MOUNT BARKER DISTRICT COUNCIL,0,Inner Regional Australia
WALKER FLAT,5238,MID MURRAY COUNCIL,0,Inner Regional Australia
WONGULLA,5238,MID MURRAY COUNCIL,0,Outer Regional Australia
YOUNGHUSBAND,5238,MID MURRAY COUNCIL,0,Inner Regional Australia
YOUNGHUSBAND HOLDINGS,5238,MID MURRAY COUNCIL,0,Not Applicable
LENSWOOD,5240,ADELAIDE HILLS COUNCIL,0,Inner Regional Australia
BRUKUNGA,5252,MOUNT BARKER DISTRICT COUNCIL,0,Inner Regional Australia
LOBETHAL,5241,ADELAIDE HILLS COUNCIL,0,Inner Regional Australia
BALHANNAH,5242,ADELAIDE HILLS COUNCIL,0,Inner Regional Australia
OAKBANK,5243,ADELAIDE HILLS COUNCIL,0,Inner Regional Australia
CHARLESTON,5244,ADELAIDE HILLS COUNCIL,0,Inner Regional Australia
MOUNT TORRENS,5244,ADELAIDE HILLS COUNCIL,0,Inner Regional Australia
BULGUNNIA,5719,PASTORAL UNINCORPORATED AREA,0,Not Applicable
HARROGATE,5244,MOUNT BARKER DISTRICT COUNCIL,0,Inner Regional Australia
MOUNT BARKER SPRINGS,5251,MOUNT BARKER DISTRICT COUNCIL,0,Inner Regional Australia
MOUNT BARKER SUMMIT,5251,MOUNT BARKER DISTRICT COUNCIL,0,Not Applicable
WOODSIDE,5244,ADELAIDE HILLS COUNCIL,0,Inner Regional Australia
HAHNDORF,5245,MOUNT BARKER DISTRICT COUNCIL,0,Major Cities of Australia
PAECHTOWN,5245,MOUNT BARKER DISTRICT COUNCIL,0,Inner Regional Australia
DAWESLEY,5252,MOUNT BARKER DISTRICT COUNCIL,0,Inner Regional Australia
VERDUN,5245,ADELAIDE HILLS COUNCIL,0,Inner Regional Australia
BLAKISTON,5250,MOUNT BARKER DISTRICT COUNCIL,0,Major Cities of Australia
LITTLEHAMPTON,5250,MOUNT BARKER DISTRICT COUNCIL,0,Major Cities of Australia
TOTNESS,5250,MOUNT BARKER DISTRICT COUNCIL,0,Major Cities of Australia
BUGLE RANGES,5251,MOUNT BARKER DISTRICT COUNCIL,0,Inner Regional Australia
MOUNT BARKER,5251,MOUNT BARKER DISTRICT COUNCIL,0,Major Cities of Australia
MOUNT BARKER JUNCTION,5251,MOUNT BARKER DISTRICT COUNCIL,0,Not Applicable
KANMANTOO,5252,MOUNT BARKER DISTRICT COUNCIL,0,Inner Regional Australia
NAIRNE,5252,MOUNT BARKER DISTRICT COUNCIL,0,Major Cities of Australia
LONG FLAT,5253,THE RURAL CITY OF MURRAY BRIDGE,0,Inner Regional Australia
MOYHALL,5271,NARACOORTE LUCINDALE COUNCIL,0,Not Applicable
ST IVES,5252,MOUNT BARKER DISTRICT COUNCIL,0,Not Applicable
AVOCA DELL,5253,THE RURAL CITY OF MURRAY BRIDGE,0,Not Applicable
BRINKLEY,5253,THE RURAL CITY OF MURRAY BRIDGE,0,Not Applicable
BURDETT,5253,THE RURAL CITY OF MURRAY BRIDGE,0,Inner Regional Australia
CHAPMAN BORE,5253,THE RURAL CITY OF MURRAY BRIDGE,0,Not Applicable
MONTEITH,5253,THE RURAL CITY OF MURRAY BRIDGE,0,Not Applicable
MURRAWONG,5253,THE RURAL CITY OF MURRAY BRIDGE,0,Not Applicable
MURRAY BRIDGE,5253,THE RURAL CITY OF MURRAY BRIDGE,0,Inner Regional Australia
MURRAY BRIDGE EAST,5253,THE RURAL CITY OF MURRAY BRIDGE,0,Inner Regional Australia
MURRAY BRIDGE NORTH,5253,THE RURAL CITY OF MURRAY BRIDGE,0,Not Applicable
